Order_type,Street_name,Restriction_Description,Lat_Start,Lon_Start,Lat_End,Lon_End,Side_of_Road,start,finish,,
Taxi Rank,RICHMOND HILL,Waiting prohibited at any time except for Hackney Carriages,,,,,northwestern,from a point 9 metres southwest of the extended centre line of Albert Road,for a distance of 17 metres in a southwesterly direction,,
Taxi Rank,RICHMOND HILL,Waiting prohibited at any time except for Hackney Carriages midnight-5am and 10pm-midnight,,,,,northwestern,from a point 2 metres northeast of the southern boundary of No. 22,for a distance of 20 metres in a north-easterly direction,,
Taxi Rank,SEA ROAD,Waiting prohibited at any time except for Hackney Carriages,,,,,northwestern,from a point 10 metres northeast of its junction with the Chine access road,for a distance of 5 metres in a north-easterly direction,,
Taxi Rank,SOUTH CLIFF ROAD,Waiting prohibited at any time except for Hackney Carriages,,,,,northwestern,from a point 15 metres southwest of the centre line of Exeter Road,for a distance of 22 metres in a southwesterly direction,,
Taxi Rank,SOUTHBOURNE GROVE,Waiting prohibited at any time except for Hackney Carriages,,,,,northern,from a point 1 metres east of the western boundary of No. 32,for a distance of 12 metres in an easterly direction,,
Taxi Rank,TERRACE ROAD,Waiting prohibited midnight-3am except Hackney Carriages,,,,,northeastern,from a point 78 metres east of its junction with Orchard Street,to a point 87 metres east of its junction with Orchard Street,,
Taxi Rank,THE TRIANGLE (Southern Arm),Waiting prohibited at any time except for Hackney Carriages,,,,,southern,from the boundary of Nos. 27/28,for a distance of 16.5 metres in a south-westerly direction,,
Taxi Rank,WESTOVER ROAD,Waiting prohibited at any time except for Hackney Carriages,,,,,southwestern,from a point 1 metre northwest of the extended north-western boundary of No. 5,to a point 2 metres south of the extended boundary of Nos. 19/20,,
Taxi Rank,WIMBORNE ROAD,Waiting prohibited at any time except for Hackney Carriages,,,,,western,from a point 11 metres south of its junction with Kemp Road,for a distance of 13 metres in a southerly direction,,
,,,,,,,,,,,
,Number of records in selection:,50,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,1
"PLANNING, TRANSPORT AND REGULATION, BOURNEMOUTH BOROUGH COUNCIL",,,,,,,,,,,
